Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Colombia,7.83,7.5,7.75,7.92,7.75,10.0,7.58,7.58,10.0,10.0,83.92
Taiwan,7.75,7.58,7.75,7.67,7.75,10.0,7.67,7.75,10.0,10.0,83.92
Colombia,7.83,7.5,7.92,7.67,7.58,10.0,7.75,7.67,10.0,10.0,83.92
Colombia,7.58,7.58,7.83,7.75,7.75,10.0,7.67,7.75,10.0,10.0,83.92
Colombia,7.83,7.67,7.75,7.67,7.83,10.0,7.58,7.58,10.0,10.0,83.92
Taiwan,7.92,7.92,8.0,7.33,7.67,10.0,7.17,7.92,10.0,10.0,83.92
Colombia,7.75,7.67,7.67,7.83,7.67,10.0,7.5,7.83,10.0,10.0,83.92
Mexico,7.67,7.58,7.67,7.83,7.75,10.0,7.67,7.75,10.0,10.0,83.92
Mexico,7.83,7.58,7.5,7.75,7.75,10.0,7.83,7.67,10.0,10.0,83.92
Mexico,7.92,7.83,7.75,7.67,7.75,10.0,7.75,7.92,10.0,9.33,83.92
Colombia,7.83,7.5,7.92,7.67,7.58,10.0,7.75,7.58,10.0,10.0,83.83
Colombia,7.75,7.5,7.83,7.75,7.75,10.0,7.58,7.67,10.0,10.0,83.83
Costa Rica,7.67,7.75,7.67,7.75,7.5,10.0,7.83,7.67,10.0,10.0,83.83
Guatemala,7.75,7.5,7.75,7.58,7.83,10.0,7.67,7.75,10.0,10.0,83.83
Taiwan,7.75,7.5,7.75,7.67,7.75,10.0,7.75,7.67,10.0,10.0,83.83
Brazil,8.0,7.42,7.25,7.83,7.75,10.0,8.0,7.58,10.0,10.0,83.83
Taiwan,7.75,7.67,7.67,7.75,7.42,10.0,7.83,7.75,10.0,10.0,83.83
Ethiopia,7.67,7.67,7.75,7.67,7.58,10.0,7.75,7.75,10.0,10.0,83.83
Brazil,7.5,7.58,7.67,8.17,7.83,10.0,8.08,7.67,9.33,10.0,83.83
Costa Rica,7.83,7.5,7.83,7.83,7.75,10.0,7.67,7.42,10.0,10.0,83.83
Guatemala,8.0,7.33,7.58,7.75,7.58,10.0,7.75,7.83,10.0,10.0,83.83
Brazil,7.67,7.33,7.92,7.5,8.17,10.0,7.75,7.5,10.0,10.0,83.83
Ecuador,7.75,7.58,7.5,7.83,7.83,10.0,7.67,7.67,10.0,10.0,83.83
Colombia,7.83,7.58,7.67,7.67,7.58,10.0,7.92,7.58,10.0,10.0,83.83
Guatemala,7.83,7.5,7.5,7.67,7.83,10.0,7.67,7.83,10.0,10.0,83.83
Mexico,7.42,7.67,7.67,7.5,7.67,10.0,7.92,8.0,10.0,10.0,83.83
Mexico,7.75,7.5,7.67,7.75,7.75,10.0,7.83,7.58,10.0,10.0,83.83
Brazil,7.67,7.58,7.83,7.58,7.5,10.0,7.83,7.83,10.0,10.0,83.83
Thailand,8.0,7.58,7.75,7.58,7.67,10.0,7.5,7.75,10.0,10.0,83.83
Thailand,7.58,7.58,7.5,7.83,7.75,10.0,7.75,7.83,10.0,10.0,83.83
Ethiopia,8.0,7.58,7.58,7.5,7.83,10.0,7.5,7.83,10.0,10.0,83.83
Kenya,7.58,7.5,7.75,7.75,7.75,10.0,7.83,7.58,10.0,10.0,83.75
Brazil,7.75,7.58,7.67,7.67,7.67,10.0,7.75,7.67,10.0,10.0,83.75
Colombia,7.58,7.58,7.83,7.58,7.58,10.0,7.75,7.83,10.0,10.0,83.75
Taiwan,7.58,7.58,7.67,7.83,7.67,10.0,7.75,7.67,10.0,10.0,83.75
Colombia,7.67,7.5,7.92,7.5,7.75,10.0,7.67,7.75,10.0,10.0,83.75
China,7.5,7.67,7.83,7.67,7.58,10.0,7.75,7.75,10.0,10.0,83.75
Colombia,7.67,7.5,7.75,7.83,7.58,10.0,7.75,7.67,10.0,10.0,83.75
Uganda,7.75,7.58,8.0,7.5,7.33,10.0,7.67,7.92,10.0,10.0,83.75
United States of America,7.67,7.83,7.83,8.17,8.0,9.33,7.75,7.83,10.0,9.33,83.75
Colombia,7.92,7.67,7.67,7.67,7.5,10.0,7.67,7.67,10.0,10.0,83.75
Colombia,7.42,7.42,7.67,8.33,8.0,10.0,7.5,7.42,10.0,10.0,83.75
Colombia,7.67,7.75,7.58,7.67,7.67,10.0,7.75,7.67,10.0,10.0,83.75
Colombia,7.58,7.75,7.75,8.0,7.42,10.0,7.58,7.67,10.0,10.0,83.75
United States of America,7.58,7.67,7.25,8.25,7.83,10.0,7.75,7.42,10.0,10.0,83.75
Mexico,7.5,7.58,7.83,7.67,7.75,10.0,7.83,7.58,10.0,10.0,83.75
Guatemala,7.67,7.58,7.67,7.75,7.75,10.0,7.75,7.58,10.0,10.0,83.75
Colombia,7.33,7.58,7.83,7.67,7.42,10.0,8.08,7.83,10.0,10.0,83.75
Colombia,7.25,7.25,7.75,8.5,7.58,10.0,7.75,7.67,10.0,10.0,83.75
United States of America,7.67,7.75,7.83,7.5,7.58,10.0,7.75,7.67,10.0,10.0,83.75
Brazil,7.67,7.5,7.67,7.5,7.67,10.0,7.83,7.83,10.0,10.0,83.67
Kenya,7.58,7.67,8.08,7.67,7.25,10.0,7.75,7.67,10.0,10.0,83.67
Honduras,7.67,7.67,7.5,8.0,8.0,10.0,7.33,7.5,10.0,10.0,83.67
Nicaragua,7.67,7.67,7.67,7.58,7.83,10.0,7.5,7.75,10.0,10.0,83.67
Brazil,7.75,7.58,7.58,7.58,7.58,10.0,7.83,7.75,10.0,10.0,83.67
Taiwan,7.92,7.33,7.5,7.67,7.83,10.0,7.75,7.67,10.0,10.0,83.67
Costa Rica,7.5,7.67,7.33,7.5,7.67,10.0,8.33,7.67,10.0,10.0,83.67
Thailand,7.83,7.58,7.5,7.58,7.67,10.0,7.75,7.75,10.0,10.0,83.67
Colombia,7.75,7.5,7.5,7.67,7.67,10.0,7.83,7.75,10.0,10.0,83.67
Guatemala,8.0,7.33,8.0,8.0,8.0,10.0,7.5,7.5,10.0,9.33,83.67
Colombia,7.58,7.67,7.83,7.67,7.58,10.0,7.58,7.75,10.0,10.0,83.67
Colombia,7.67,7.67,7.67,7.75,7.33,10.0,7.92,7.67,10.0,10.0,83.67
Guatemala,7.67,7.42,7.67,7.75,8.0,10.0,7.5,7.67,10.0,10.0,83.67
Guatemala,7.67,7.33,7.83,7.83,7.67,10.0,7.67,7.67,10.0,10.0,83.67
Colombia,7.83,7.58,7.75,7.75,7.17,10.0,7.83,7.75,10.0,10.0,83.67
Guatemala,7.67,7.83,8.17,7.75,8.08,9.33,8.0,8.17,9.33,9.33,83.67
Guatemala,7.42,7.5,7.67,7.83,7.58,10.0,7.5,8.17,10.0,10.0,83.67
Mexico,7.33,7.5,7.67,8.25,7.83,10.0,7.58,7.5,10.0,10.0,83.67
Indonesia,7.58,7.58,8.17,7.67,7.42,10.0,7.58,7.67,10.0,10.0,83.67
Guatemala,8.0,7.33,7.67,7.67,7.67,10.0,7.83,7.5,10.0,10.0,83.67
United States of America,8.08,7.92,7.75,8.0,7.75,9.33,8.17,8.0,9.33,9.33,83.67
Brazil,7.58,7.58,7.58,7.58,7.67,10.0,7.92,7.67,10.0,10.0,83.58
Guatemala,7.83,7.5,7.75,7.58,7.58,10.0,7.58,7.75,10.0,10.0,83.58
Colombia,7.58,7.58,7.75,7.58,7.67,10.0,7.67,7.75,10.0,10.0,83.58
China,7.58,7.58,7.67,7.75,7.67,10.0,7.75,7.58,10.0,10.0,83.58
Colombia,7.67,7.58,7.67,7.58,7.75,10.0,7.58,7.75,10.0,10.0,83.58
Mexico,7.58,7.58,7.75,7.67,7.5,10.0,7.75,7.75,10.0,10.0,83.58
Ethiopia,7.67,7.58,7.75,7.67,7.5,10.0,7.75,7.67,10.0,10.0,83.58
Uganda,7.75,7.42,7.67,7.67,7.75,10.0,7.67,7.67,10.0,10.0,83.58
Colombia,7.67,7.67,7.67,7.67,7.67,10.0,7.67,7.58,10.0,10.0,83.58
Colombia,7.58,7.67,7.67,7.75,7.67,10.0,7.67,7.58,10.0,10.0,83.58
Colombia,7.58,7.5,7.75,7.83,7.75,10.0,7.58,7.58,10.0,10.0,83.58
Taiwan,7.75,7.75,7.75,7.58,7.5,10.0,7.5,7.75,10.0,10.0,83.58
Colombia,7.67,7.58,7.67,7.58,7.75,10.0,7.67,7.67,10.0,10.0,83.58
Mexico,7.58,7.58,7.83,7.58,7.67,10.0,7.67,7.67,10.0,10.0,83.58
Colombia,7.58,7.58,7.67,7.75,7.67,10.0,7.75,7.58,10.0,10.0,83.58
Brazil,7.75,7.5,7.83,7.58,7.5,10.0,7.67,7.75,10.0,10.0,83.58
Colombia,7.75,7.58,7.75,7.5,7.75,10.0,7.58,7.58,10.0,10.0,83.5
Taiwan,7.17,7.17,7.58,7.0,7.0,10.0,10.0,7.58,10.0,10.0,83.5
Costa Rica,7.67,7.5,7.92,7.67,7.5,10.0,7.83,7.42,10.0,10.0,83.5
Colombia,7.5,7.58,7.75,7.75,7.75,10.0,7.58,7.58,10.0,10.0,83.5
Guatemala,7.83,7.5,7.67,7.58,7.58,10.0,7.58,7.75,10.0,10.0,83.5
Colombia,7.58,7.58,7.58,7.67,7.75,10.0,7.75,7.58,10.0,10.0,83.5
United Republic of Tanzania,7.67,7.58,7.75,7.58,7.67,10.0,7.58,7.67,10.0,10.0,83.5
Indonesia,7.92,7.58,7.25,7.58,7.83,10.0,7.67,7.67,10.0,10.0,83.5
Ethiopia,7.58,7.5,7.67,7.67,7.75,10.0,7.58,7.75,10.0,10.0,83.5
Colombia,7.83,7.67,7.67,7.67,7.58,10.0,7.67,7.42,10.0,10.0,83.5
Colombia,7.58,7.25,8.0,7.58,7.92,10.0,7.58,7.58,10.0,10.0,83.5
Guatemala,7.83,7.5,7.58,7.67,7.42,10.0,7.75,7.75,10.0,10.0,83.5
Colombia,7.5,7.33,7.75,7.83,7.83,10.0,7.67,7.58,10.0,10.0,83.5
Honduras,7.5,7.67,7.67,7.67,7.67,10.0,7.83,7.5,10.0,10.0,83.5
Colombia,7.67,7.42,7.58,7.67,7.75,10.0,7.67,7.75,10.0,10.0,83.5
Colombia,7.75,7.58,7.58,7.75,7.58,10.0,7.58,7.67,10.0,10.0,83.5
Mexico,7.5,7.25,7.83,7.42,7.5,10.0,8.42,7.58,10.0,10.0,83.5
Mexico,7.75,7.67,7.67,7.5,7.58,10.0,7.58,7.75,10.0,10.0,83.5
Mexico,7.75,7.67,7.75,7.5,7.33,10.0,7.83,7.67,10.0,10.0,83.5
Guatemala,8.0,7.5,7.83,7.5,7.67,10.0,7.5,7.5,10.0,10.0,83.5
Colombia,7.67,7.58,7.67,7.67,7.67,10.0,7.67,7.58,10.0,10.0,83.5
Guatemala,7.5,7.75,7.5,7.67,8.0,10.0,7.58,7.5,10.0,10.0,83.5
United States of America,7.92,7.58,7.5,7.67,7.58,10.0,7.58,7.67,10.0,10.0,83.5
Indonesia,7.58,7.58,7.83,7.58,7.75,10.0,7.58,7.58,10.0,10.0,83.5
Colombia,7.5,7.58,7.5,7.83,7.75,10.0,7.67,7.58,10.0,10.0,83.42
Guatemala,7.58,7.5,7.67,7.67,7.58,10.0,7.67,7.75,10.0,10.0,83.42
Colombia,7.67,7.5,7.67,7.58,7.67,10.0,7.67,7.67,10.0,10.0,83.42
Costa Rica,7.92,7.42,7.58,7.67,7.5,10.0,7.83,7.5,10.0,10.0,83.42
Taiwan,7.08,7.0,7.67,7.0,7.0,10.0,10.0,7.67,10.0,10.0,83.42
Uganda,7.75,7.33,7.58,7.58,7.67,10.0,7.75,7.75,10.0,10.0,83.42
Thailand,7.5,7.75,7.5,7.67,7.75,10.0,7.67,7.58,10.0,10.0,83.42
El Salvador,7.58,7.75,7.58,7.67,7.75,10.0,7.58,7.5,10.0,10.0,83.42
Colombia,7.67,7.58,7.58,7.67,7.58,10.0,7.67,7.67,10.0,10.0,83.42
Brazil,7.5,7.75,7.33,7.83,7.42,10.0,7.75,7.83,10.0,10.0,83.42
United Republic of Tanzania,7.67,7.58,7.75,7.58,7.58,10.0,7.58,7.67,10.0,10.0,83.42
Colombia,7.75,7.25,7.58,8.58,7.75,10.0,7.58,7.58,10.0,9.33,83.42
Guatemala,7.83,7.33,7.75,7.67,7.5,10.0,7.5,7.83,10.0,10.0,83.42
Guatemala,7.83,7.5,7.67,7.5,7.58,10.0,7.58,7.75,10.0,10.0,83.42
Guatemala,7.42,7.75,7.67,7.75,7.75,10.0,7.58,7.5,10.0,10.0,83.42
United States of America,7.58,7.67,7.42,7.67,7.67,10.0,7.67,7.75,10.0,10.0,83.42
Colombia,7.5,7.58,7.5,7.75,7.67,10.0,7.67,7.75,10.0,10.0,83.42
Colombia,7.67,7.58,7.58,7.67,7.75,10.0,7.58,7.58,10.0,10.0,83.42
United States of America,7.67,7.42,7.5,7.58,7.83,10.0,7.5,7.92,10.0,10.0,83.42
Thailand,7.92,7.5,7.58,7.42,7.92,10.0,7.83,7.25,10.0,10.0,83.42
Mexico,7.63,7.38,7.25,8.75,7.5,10.0,8.0,7.88,10.0,9.0,83.38
Colombia,7.58,7.75,7.75,7.58,7.58,10.0,7.58,7.5,10.0,10.0,83.33
Colombia,7.42,7.58,7.67,7.75,7.67,10.0,7.67,7.58,10.0,10.0,83.33
Colombia,7.58,7.58,7.83,7.58,7.5,10.0,7.67,7.58,10.0,10.0,83.33
Brazil,7.58,7.33,7.5,7.92,7.58,10.0,7.58,7.83,10.0,10.0,83.33
Mexico,7.67,7.5,7.75,7.58,7.5,10.0,7.58,7.75,10.0,10.0,83.33
Colombia,7.83,7.42,7.67,7.42,7.83,10.0,7.42,7.75,10.0,10.0,83.33
United Republic of Tanzania,7.58,7.67,7.75,7.58,7.58,10.0,7.58,7.58,10.0,10.0,83.33
Mexico,7.67,7.58,7.67,7.58,7.5,10.0,7.67,7.67,10.0,10.0,83.33
Costa Rica,7.67,7.42,7.67,7.67,7.67,10.0,7.58,7.67,10.0,10.0,83.33
United States of America,7.67,7.83,7.83,8.0,7.92,10.0,7.83,7.58,9.33,9.33,83.33
Costa Rica,7.5,7.67,7.5,7.17,7.83,10.0,8.0,7.67,10.0,10.0,83.33
Peru,7.83,7.58,7.83,7.58,7.92,10.0,7.5,7.75,10.0,9.33,83.33
Haiti,7.5,7.67,7.58,7.42,7.83,10.0,7.83,7.5,10.0,10.0,83.33
Colombia,7.67,7.5,7.67,7.42,7.92,10.0,7.5,7.67,10.0,10.0,83.33
Guatemala,7.67,7.17,7.83,7.67,7.67,10.0,7.67,7.67,10.0,10.0,83.33
United States of America,7.83,7.58,7.92,7.67,7.67,10.0,7.83,7.5,10.0,9.33,83.33
Burundi,7.5,7.33,7.75,7.75,7.5,10.0,7.83,7.67,10.0,10.0,83.33
Colombia,7.58,7.67,7.5,7.58,7.67,10.0,7.67,7.67,10.0,10.0,83.33
United States of America,7.75,7.83,8.08,7.58,7.67,10.0,7.92,7.83,9.33,9.33,83.33
United States of America,7.5,7.58,7.58,7.67,7.83,10.0,7.5,7.67,10.0,10.0,83.33
Mexico,7.83,7.42,7.67,7.5,7.33,10.0,7.67,7.83,10.0,10.0,83.25
Costa Rica,7.5,7.83,7.5,7.67,7.67,10.0,7.58,7.5,10.0,10.0,83.25
Costa Rica,7.67,7.42,7.83,7.67,7.5,10.0,7.67,7.5,10.0,10.0,83.25
Guatemala,7.83,7.42,7.5,7.58,7.67,10.0,7.67,7.58,10.0,10.0,83.25
Uganda,7.42,7.67,7.5,7.67,7.67,10.0,7.67,7.67,10.0,10.0,83.25
Brazil,7.5,7.42,7.58,7.42,7.67,10.0,8.0,7.67,10.0,10.0,83.25
Colombia,7.17,7.67,7.58,7.83,7.75,10.0,7.58,7.67,10.0,10.0,83.25
Mexico,7.58,7.5,7.83,7.58,7.58,10.0,7.42,7.75,10.0,10.0,83.25
Taiwan,7.5,7.5,7.67,7.83,7.67,10.0,7.58,7.5,10.0,10.0,83.25
Taiwan,7.58,7.75,7.92,7.33,7.5,10.0,7.33,7.83,10.0,10.0,83.25
Colombia,7.58,7.5,7.58,7.75,7.58,10.0,7.67,7.58,10.0,10.0,83.25
Guatemala,7.67,7.58,7.5,7.5,7.67,10.0,7.67,7.67,10.0,10.0,83.25
Colombia,7.33,7.67,7.83,7.67,7.67,10.0,7.58,7.5,10.0,10.0,83.25
Mexico,7.5,7.5,7.58,7.58,7.58,10.0,7.75,7.75,10.0,10.0,83.25
United States of America,8.0,7.83,7.58,7.67,8.08,10.0,7.67,7.75,9.33,9.33,83.25
Mexico,7.58,7.58,7.75,7.58,7.5,10.0,7.67,7.58,10.0,10.0,83.25
Mexico,7.92,7.42,7.75,7.5,7.33,10.0,7.58,7.75,10.0,10.0,83.25
Guatemala,7.83,7.08,7.83,8.08,7.42,10.0,7.42,7.58,10.0,10.0,83.25
Brazil,7.58,7.5,7.75,7.58,7.58,10.0,7.58,7.67,10.0,10.0,83.25
Colombia,7.42,7.58,7.67,7.58,7.83,10.0,7.58,7.58,10.0,10.0,83.25
Colombia,7.5,7.5,7.67,7.67,7.58,10.0,7.67,7.67,10.0,10.0,83.25
Colombia,7.42,7.25,7.92,7.58,7.83,10.0,7.5,7.75,10.0,10.0,83.25
Colombia,7.25,7.67,8.0,7.5,7.67,10.0,7.5,7.67,10.0,10.0,83.25
Colombia,7.42,7.5,7.92,7.67,7.42,10.0,7.58,7.75,10.0,10.0,83.25
Brazil,7.58,7.5,7.67,7.58,7.67,10.0,7.75,7.42,10.0,10.0,83.17
Guatemala,7.67,7.33,7.58,7.58,7.75,10.0,7.67,7.58,10.0,10.0,83.17
United Republic of Tanzania,7.67,7.42,7.67,7.58,7.67,10.0,7.58,7.58,10.0,10.0,83.17
Peru,7.58,7.5,7.92,7.5,7.67,10.0,7.5,7.5,10.0,10.0,83.17
Vietnam,7.33,7.08,7.58,8.58,7.58,10.0,7.58,7.42,10.0,10.0,83.17
Guatemala,7.75,7.42,7.67,7.5,7.58,10.0,7.5,7.75,10.0,10.0,83.17
Honduras,7.67,7.5,7.67,7.67,7.5,10.0,7.5,7.67,10.0,10.0,83.17
China,7.67,7.33,7.5,7.67,7.67,10.0,7.67,7.67,10.0,10.0,83.17
China,7.67,7.5,7.67,7.58,7.42,10.0,7.67,7.67,10.0,10.0,83.17
El Salvador,7.67,7.33,7.5,7.67,8.0,10.0,7.5,7.5,10.0,10.0,83.17
Guatemala,7.83,7.5,7.5,7.5,7.58,10.0,7.5,7.75,10.0,10.0,83.17
Guatemala,7.75,7.42,7.92,7.5,7.5,10.0,7.42,7.67,10.0,10.0,83.17
Kenya,7.75,7.67,7.83,8.5,7.83,9.33,7.83,7.75,9.33,9.33,83.17
Thailand,7.75,7.58,7.67,7.67,7.42,10.0,7.5,7.58,10.0,10.0,83.17
United Republic of Tanzania,7.58,7.67,7.58,7.58,7.42,10.0,7.67,7.67,10.0,10.0,83.17
Colombia,7.67,7.5,7.58,7.67,7.5,10.0,7.75,7.5,10.0,10.0,83.17
Uganda,7.42,7.5,8.0,7.58,7.33,10.0,7.67,7.67,10.0,10.0,83.17
Colombia,7.58,7.5,7.58,7.58,7.58,10.0,7.58,7.75,10.0,10.0,83.17
Honduras,7.67,7.5,7.5,7.67,7.67,10.0,7.67,7.5,10.0,10.0,83.17
Honduras,7.67,7.5,7.67,7.67,7.5,10.0,7.5,7.67,10.0,10.0,83.17
Guatemala,8.17,7.17,7.33,7.67,7.33,10.0,7.67,7.83,10.0,10.0,83.17
United States of America,7.42,7.58,7.5,7.67,7.92,10.0,7.58,7.5,10.0,10.0,83.17
United Republic of Tanzania,7.75,7.58,7.58,7.58,7.58,10.0,7.58,7.5,10.0,10.0,83.17
Guatemala,7.67,7.33,7.67,7.67,7.5,10.0,7.5,7.83,10.0,10.0,83.17
Mexico,7.58,7.58,7.75,7.42,7.5,10.0,7.75,7.58,10.0,10.0,83.17
Mexico,7.5,7.58,7.75,7.58,7.42,10.0,7.67,7.67,10.0,10.0,83.17
Mexico,7.67,7.42,7.58,7.58,7.5,10.0,7.67,7.75,10.0,10.0,83.17
Colombia,7.5,7.5,7.67,8.17,7.58,10.0,7.25,7.5,10.0,10.0,83.17
Mexico,7.75,7.42,7.75,7.58,7.58,10.0,7.58,7.5,10.0,10.0,83.17
Colombia,7.58,7.5,7.58,7.67,7.67,10.0,7.5,7.67,10.0,10.0,83.17
Mexico,7.58,7.58,7.5,7.5,7.67,10.0,7.58,7.75,10.0,10.0,83.17
Brazil,7.5,7.58,7.75,7.58,7.58,10.0,7.5,7.67,10.0,10.0,83.17
Brazil,7.58,7.5,7.92,7.5,7.42,10.0,7.67,7.58,10.0,10.0,83.17
Guatemala,7.5,7.67,7.75,8.0,7.92,10.0,7.5,7.5,9.33,10.0,83.17
Brazil,7.5,7.58,7.75,7.5,7.75,10.0,7.58,7.5,10.0,10.0,83.17
Brazil,7.5,7.67,7.58,7.58,7.67,10.0,7.42,7.75,10.0,10.0,83.17
El Salvador,8.08,8.17,7.42,7.58,7.17,9.33,7.58,7.83,10.0,10.0,83.17
Ethiopia,8.08,7.67,7.75,7.92,7.83,9.33,7.92,8.0,9.33,9.33,83.17
Colombia,7.67,7.33,7.58,7.58,7.75,10.0,7.5,7.67,10.0,10.0,83.08
Colombia,7.42,7.5,7.75,7.75,8.0,10.0,7.17,7.5,10.0,10.0,83.08
Brazil,7.5,7.58,7.58,7.58,7.67,10.0,7.58,7.58,10.0,10.0,83.08
Brazil,7.33,7.67,7.33,7.42,7.75,10.0,7.92,7.67,10.0,10.0,83.08
Taiwan,7.83,7.5,7.83,7.25,7.67,10.0,7.75,7.92,10.0,9.33,83.08
Brazil,7.5,7.58,7.42,7.67,7.75,10.0,7.5,7.67,10.0,10.0,83.08
Brazil,7.42,7.67,7.58,7.5,7.42,10.0,7.67,7.83,10.0,10.0,83.08
Costa Rica,7.67,7.5,7.83,7.67,7.58,10.0,7.5,7.33,10.0,10.0,83.08
United States of America,7.33,7.58,7.33,7.67,7.83,10.0,7.58,7.75,10.0,10.0,83.08
Taiwan,7.5,7.5,7.75,7.5,7.5,10.0,7.58,7.75,10.0,10.0,83.08
United States of America,7.17,7.33,7.83,7.67,7.75,10.0,7.5,7.83,10.0,10.0,83.08
Mexico,7.75,7.42,7.75,7.5,7.5,10.0,7.5,7.67,10.0,10.0,83.08
United States of America,7.67,7.5,7.67,8.0,7.92,9.33,8.08,7.58,10.0,9.33,83.08
United States of America,7.92,7.58,7.33,7.58,7.67,10.0,7.42,7.58,10.0,10.0,83.08
Colombia,7.58,7.33,7.33,8.08,7.25,10.0,8.17,7.33,10.0,10.0,83.08
Colombia,7.25,7.33,7.83,7.92,7.42,10.0,7.58,7.75,10.0,10.0,83.08
Indonesia,7.58,7.5,7.67,7.58,7.67,10.0,7.5,7.58,10.0,10.0,83.08
Guatemala,7.25,7.67,7.92,7.67,7.83,10.0,7.75,7.67,10.0,9.33,83.08
Brazil,7.75,7.5,7.58,7.5,7.67,10.0,7.5,7.5,10.0,10.0,83.0
Brazil,7.67,7.58,7.5,7.5,7.58,10.0,7.58,7.58,10.0,10.0,83.0
Brazil,7.67,7.58,7.5,7.42,7.58,10.0,7.58,7.67,10.0,10.0,83.0
Uganda,7.42,7.42,7.67,7.5,7.83,10.0,7.58,7.58,10.0,10.0,83.0
Uganda,7.58,7.5,7.67,7.5,7.42,10.0,7.67,7.67,10.0,10.0,83.0
Colombia,7.67,7.33,7.67,7.58,7.5,10.0,7.58,7.67,10.0,10.0,83.0
Vietnam,7.58,7.58,7.75,7.67,7.42,10.0,8.0,7.67,10.0,9.33,83.0
Guatemala,7.92,7.33,7.67,7.5,7.42,10.0,7.42,7.75,10.0,10.0,83.0
Guatemala,7.75,7.33,7.75,7.42,7.5,10.0,7.58,7.67,10.0,10.0,83.0
Guatemala,7.67,7.25,7.83,7.5,7.75,10.0,7.33,7.67,10.0,10.0,83.0
Brazil,7.5,7.67,7.67,7.5,7.42,10.0,7.58,7.67,10.0,10.0,83.0
Taiwan,7.58,7.83,7.92,7.25,7.33,10.0,7.17,7.92,10.0,10.0,83.0
Uganda,7.5,7.5,7.83,7.5,7.58,10.0,7.5,7.58,10.0,10.0,83.0
United States of America,7.83,7.67,7.67,7.83,7.75,10.0,7.42,7.5,9.33,10.0,83.0
Guatemala,7.83,7.42,7.67,7.5,7.5,10.0,7.42,7.67,10.0,10.0,83.0
Costa Rica,7.58,7.5,7.67,7.5,7.5,10.0,7.67,7.58,10.0,10.0,83.0
Brazil,7.67,7.42,7.75,7.67,7.42,10.0,7.5,7.58,10.0,10.0,83.0
Colombia,7.5,7.33,7.75,7.17,7.58,10.0,8.25,7.42,10.0,10.0,83.0
Colombia,7.33,7.58,7.83,7.67,7.5,10.0,7.58,7.5,10.0,10.0,83.0
Colombia,7.42,7.75,7.33,7.58,7.75,10.0,7.5,7.67,10.0,10.0,83.0
Colombia,7.67,7.42,7.58,7.42,7.58,10.0,7.58,7.75,10.0,10.0,83.0
Colombia,7.58,7.42,7.5,7.58,7.75,10.0,7.67,7.5,10.0,10.0,83.0
Mexico,7.5,7.42,7.67,7.58,7.67,10.0,7.58,7.58,10.0,10.0,83.0
Mexico,7.58,7.5,7.67,7.67,7.58,10.0,7.83,7.83,10.0,9.33,83.0
Mexico,7.5,7.5,7.5,7.58,7.58,10.0,7.67,7.67,10.0,10.0,83.0
Colombia,7.5,7.5,7.67,7.5,7.75,10.0,7.5,7.58,10.0,10.0,83.0
Colombia,7.67,7.5,7.75,7.75,7.83,10.0,7.58,7.58,10.0,9.33,83.0
Colombia,7.58,7.58,7.67,7.42,7.67,10.0,7.5,7.58,10.0,10.0,83.0
Guatemala,7.67,7.5,7.5,7.83,7.5,10.0,7.33,7.67,10.0,10.0,83.0
Colombia,7.5,7.58,7.67,7.42,7.67,10.0,7.5,7.67,10.0,10.0,83.0
Thailand,7.5,7.58,7.33,7.67,7.75,10.0,7.5,7.67,10.0,10.0,83.0
Colombia,7.33,7.58,7.33,7.92,7.58,10.0,7.58,7.67,10.0,10.0,83.0
United States of America,7.83,7.67,7.83,7.83,7.92,9.33,8.08,7.83,9.33,9.33,83.0
United States of America,7.58,7.42,7.5,7.67,7.58,10.0,7.67,7.58,10.0,10.0,83.0
