Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Colombia,7.67,7.67,7.5,7.58,7.58,10.0,7.42,7.58,10.0,10.0,83.0
Nicaragua,7.92,7.75,7.58,8.08,7.92,9.33,7.92,7.83,9.33,9.33,83.0
Thailand,7.75,7.42,7.5,7.5,8.17,10.0,7.42,7.25,10.0,10.0,83.0
Brazil,7.58,7.5,7.67,7.5,7.58,10.0,7.5,7.58,10.0,10.0,82.92
El Salvador,7.58,7.75,7.5,7.83,7.92,10.0,7.5,7.5,9.33,10.0,82.92
Colombia,7.33,7.5,7.58,7.58,7.67,10.0,7.58,7.67,10.0,10.0,82.92
Taiwan,7.67,7.25,7.17,7.58,7.67,10.0,7.75,7.83,10.0,10.0,82.92
Ethiopia,7.5,7.5,7.58,7.58,7.58,10.0,7.58,7.58,10.0,10.0,82.92
Taiwan,7.33,7.67,7.5,7.75,7.5,10.0,7.58,7.58,10.0,10.0,82.92
Philippines,7.58,7.67,7.58,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.92
Philippines,7.42,7.67,8.08,7.5,7.33,10.0,7.42,7.5,10.0,10.0,82.92
Mexico,7.58,7.25,7.83,7.5,7.5,10.0,7.58,7.67,10.0,10.0,82.92
Mexico,7.42,7.42,7.75,7.5,7.75,10.0,7.42,7.67,10.0,10.0,82.92
Brazil,7.83,7.5,7.08,7.67,7.75,10.0,7.58,7.5,10.0,10.0,82.92
Uganda,7.58,7.5,8.0,7.42,7.33,10.0,7.58,7.5,10.0,10.0,82.92
Uganda,7.5,7.58,7.75,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.92
Guatemala,7.58,7.42,7.75,7.5,7.67,10.0,7.5,7.5,10.0,10.0,82.92
Guatemala,7.5,7.42,7.67,7.5,7.33,10.0,7.67,7.83,10.0,10.0,82.92
Guatemala,7.58,7.25,7.58,7.58,7.58,10.0,7.75,7.58,10.0,10.0,82.92
Colombia,7.33,7.75,7.58,7.58,7.58,10.0,7.58,7.5,10.0,10.0,82.92
Colombia,7.5,7.25,7.75,7.5,7.75,10.0,7.67,7.5,10.0,10.0,82.92
Guatemala,7.92,7.25,7.83,7.17,7.5,10.0,7.5,7.75,10.0,10.0,82.92
Colombia,7.42,7.42,7.83,7.58,7.5,10.0,7.5,7.67,10.0,10.0,82.92
Mexico,7.25,7.33,7.58,7.75,7.58,10.0,7.83,7.58,10.0,10.0,82.92
Vietnam,7.58,7.17,7.67,7.42,8.08,10.0,7.67,7.33,10.0,10.0,82.92
Mexico,7.17,7.67,8.0,7.42,7.67,10.0,7.75,7.92,10.0,9.33,82.92
United States of America,7.42,7.5,7.5,7.83,7.67,10.0,7.5,7.5,10.0,10.0,82.92
Colombia,7.75,7.33,7.5,7.83,7.08,10.0,7.67,7.75,10.0,10.0,82.92
Thailand,7.17,7.5,7.42,8.0,7.5,10.0,7.75,7.58,10.0,10.0,82.92
Kenya,7.58,7.42,7.75,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.83
Guatemala,7.67,7.33,7.5,7.58,7.58,10.0,7.58,7.58,10.0,10.0,82.83
Brazil,7.5,7.58,7.67,7.42,7.5,10.0,7.58,7.58,10.0,10.0,82.83
El Salvador,7.83,7.67,7.33,7.67,7.33,10.0,7.33,7.67,10.0,10.0,82.83
Rwanda,7.83,7.75,7.83,7.75,7.75,9.33,8.0,7.92,9.33,9.33,82.83
Vietnam,7.42,7.5,7.25,7.42,7.75,10.0,7.92,7.58,10.0,10.0,82.83
Guatemala,7.67,7.33,7.58,7.5,7.67,10.0,7.5,7.58,10.0,10.0,82.83
Brazil,7.67,7.33,7.58,7.33,7.42,10.0,7.67,7.83,10.0,10.0,82.83
Colombia,7.58,7.5,7.83,7.67,7.5,10.0,7.08,7.67,10.0,10.0,82.83
United States of America,7.5,7.25,7.42,7.75,7.75,10.0,7.58,7.58,10.0,10.0,82.83
Guatemala,7.67,7.75,7.67,7.17,7.42,10.0,7.5,7.67,10.0,10.0,82.83
Colombia,7.5,7.58,7.5,7.58,7.58,10.0,7.67,7.42,10.0,10.0,82.83
Colombia,7.42,7.5,7.83,7.5,7.5,10.0,7.58,7.5,10.0,10.0,82.83
United Republic of Tanzania,7.25,7.33,7.67,7.75,7.58,10.0,7.75,7.5,10.0,10.0,82.83
Mexico,7.58,7.5,7.58,7.5,7.5,10.0,7.5,7.67,10.0,10.0,82.83
Mexico,7.75,7.42,7.67,7.42,7.42,10.0,7.58,7.58,10.0,10.0,82.83
Guatemala,7.5,7.33,7.67,7.92,7.33,10.0,7.42,7.67,10.0,10.0,82.83
Mexico,7.42,7.5,7.58,7.58,7.67,10.0,7.5,7.58,10.0,10.0,82.83
El Salvador,7.75,7.75,7.75,7.5,7.25,10.0,7.25,7.58,10.0,10.0,82.83
Guatemala,7.67,7.42,7.5,7.5,7.58,10.0,7.5,7.58,10.0,10.0,82.75
Guatemala,7.58,7.5,7.58,7.42,7.5,10.0,7.5,7.67,10.0,10.0,82.75
Guatemala,7.67,7.17,7.5,7.58,7.67,10.0,7.5,7.67,10.0,10.0,82.75
Guatemala,7.58,7.42,7.5,7.5,7.67,10.0,7.58,7.5,10.0,10.0,82.75
Guatemala,7.67,7.42,7.42,7.5,7.5,10.0,7.67,7.58,10.0,10.0,82.75
Indonesia,7.58,7.42,7.5,7.5,7.58,10.0,7.58,7.58,10.0,10.0,82.75
Guatemala,7.58,7.33,7.58,7.67,7.33,10.0,7.67,7.58,10.0,10.0,82.75
Taiwan,7.67,7.33,7.83,7.67,7.58,10.0,7.67,7.67,10.0,9.33,82.75
El Salvador,7.33,7.17,7.67,7.67,7.58,10.0,7.67,7.67,10.0,10.0,82.75
Costa Rica,7.67,7.42,7.58,7.5,7.42,10.0,7.67,7.5,10.0,10.0,82.75
Honduras,7.58,7.42,7.58,7.5,7.5,10.0,7.67,7.5,10.0,10.0,82.75
Brazil,7.5,7.58,7.5,7.58,7.58,10.0,7.5,7.5,10.0,10.0,82.75
China,7.33,7.33,7.67,7.67,7.67,10.0,7.58,7.5,10.0,10.0,82.75
China,7.67,7.42,7.5,7.5,7.5,10.0,7.5,7.67,10.0,10.0,82.75
Colombia,7.75,7.58,7.5,7.5,7.33,10.0,7.5,7.58,10.0,10.0,82.75
Malawi,7.5,7.42,7.75,7.5,7.33,10.0,7.67,7.58,10.0,10.0,82.75
Guatemala,7.75,7.25,7.75,7.67,7.5,10.0,7.42,7.42,10.0,10.0,82.75
Colombia,7.58,7.42,7.67,7.67,7.33,10.0,7.67,7.42,10.0,10.0,82.75
United States of America,7.83,7.42,7.67,7.5,7.33,10.0,7.42,7.58,10.0,10.0,82.75
United States of America,7.75,7.75,7.58,8.0,7.42,9.33,7.75,7.83,10.0,9.33,82.75
Colombia,7.33,7.17,7.58,8.58,7.25,10.0,7.5,7.33,10.0,10.0,82.75
Mexico,7.5,7.5,7.58,7.5,7.5,10.0,7.58,7.58,10.0,10.0,82.75
Mexico,7.75,7.33,7.58,7.58,7.25,10.0,7.67,7.58,10.0,10.0,82.75
Mexico,8.0,8.0,8.08,7.92,7.83,10.0,8.08,8.17,10.0,6.67,82.75
Colombia,7.67,7.42,7.5,7.58,7.5,10.0,7.5,7.58,10.0,10.0,82.75
Colombia,7.58,7.58,7.67,7.42,7.5,10.0,7.42,7.58,10.0,10.0,82.75
United States of America,7.83,7.5,7.25,7.67,7.67,10.0,7.75,7.75,10.0,9.33,82.75
Panama,7.58,7.5,7.42,7.75,7.5,10.0,7.58,7.42,10.0,10.0,82.75
United States of America,7.83,7.5,7.75,7.42,7.17,10.0,7.42,7.67,10.0,10.0,82.75
Brazil,7.75,7.25,7.5,7.5,7.58,10.0,7.5,7.58,10.0,10.0,82.67
Brazil,7.67,7.5,7.5,7.42,7.5,10.0,7.5,7.58,10.0,10.0,82.67
Laos,7.42,7.42,7.67,7.5,7.42,10.0,7.58,7.67,10.0,10.0,82.67
El Salvador,7.67,7.67,7.67,7.67,7.5,10.0,7.5,7.67,9.33,10.0,82.67
Mexico,7.75,7.42,7.5,7.17,7.42,10.0,7.75,7.67,10.0,10.0,82.67
Colombia,7.58,7.33,7.75,7.75,7.33,10.0,7.42,7.5,10.0,10.0,82.67
Brazil,7.67,7.42,7.58,7.5,7.5,10.0,7.5,7.5,10.0,10.0,82.67
Brazil,7.58,7.58,7.33,7.5,7.67,10.0,7.5,7.5,10.0,10.0,82.67
United Republic of Tanzania,7.5,7.5,7.5,7.58,7.5,10.0,7.58,7.5,10.0,10.0,82.67
United Republic of Tanzania,7.58,7.5,7.58,7.58,7.33,10.0,7.58,7.5,10.0,10.0,82.67
Taiwan,7.42,7.83,8.0,7.25,7.25,10.0,7.08,7.83,10.0,10.0,82.67
Mexico,7.5,7.42,7.67,7.5,7.42,10.0,7.58,7.58,10.0,10.0,82.67
Uganda,7.67,7.33,7.67,7.5,7.5,10.0,7.5,7.5,10.0,10.0,82.67
Taiwan,7.5,7.5,7.67,7.5,7.5,10.0,7.5,7.5,10.0,10.0,82.67
Thailand,7.67,7.5,7.42,7.5,7.58,10.0,7.5,7.5,10.0,10.0,82.67
Colombia,7.25,7.67,7.75,7.42,7.58,10.0,7.42,7.58,10.0,10.0,82.67
El Salvador,6.75,7.5,7.92,7.58,7.92,10.0,7.67,8.0,9.33,10.0,82.67
Guatemala,7.67,7.17,7.67,7.5,7.5,10.0,7.5,7.67,10.0,10.0,82.67
Thailand,7.33,7.83,7.83,7.83,7.58,10.0,7.58,7.33,9.33,10.0,82.67
Mexico,7.58,7.42,7.58,7.5,7.42,10.0,7.58,7.58,10.0,10.0,82.67
Mexico,7.58,7.58,7.5,7.42,7.42,10.0,7.58,7.58,10.0,10.0,82.67
Colombia,7.42,7.42,7.33,7.67,7.67,10.0,7.58,7.58,10.0,10.0,82.67
United States of America,7.67,7.5,7.83,7.58,7.5,10.0,7.58,7.67,9.33,10.0,82.67
Mexico,7.75,7.25,7.75,7.58,7.67,10.0,7.08,7.58,10.0,10.0,82.67
Colombia,7.33,7.67,8.08,7.17,7.33,10.0,7.42,7.67,10.0,10.0,82.67
Colombia,7.33,7.33,7.5,7.83,7.67,10.0,7.58,7.42,10.0,10.0,82.67
Guatemala,7.75,7.42,7.5,7.5,7.5,10.0,7.5,7.42,10.0,10.0,82.58
Taiwan,7.42,7.5,7.67,7.5,7.58,10.0,7.5,7.42,10.0,10.0,82.58
Brazil,7.5,7.42,7.5,7.33,7.75,10.0,7.5,7.58,10.0,10.0,82.58
Taiwan,7.08,7.0,7.25,7.0,7.0,10.0,10.0,7.25,10.0,10.0,82.58
Brazil,7.33,7.5,7.42,7.67,7.25,10.0,8.0,7.42,10.0,10.0,82.58
Indonesia,7.33,7.42,7.83,7.5,7.42,10.0,7.5,7.58,10.0,10.0,82.58
Thailand,7.67,7.42,7.75,7.5,7.42,10.0,7.5,7.33,10.0,10.0,82.58
Thailand,7.42,7.58,7.42,7.5,7.58,10.0,7.5,7.58,10.0,10.0,82.58
United Republic of Tanzania,7.5,7.33,7.75,7.5,7.58,10.0,7.5,7.42,10.0,10.0,82.58
Uganda,7.58,7.42,7.83,7.42,7.42,10.0,7.42,7.5,10.0,10.0,82.58
Costa Rica,7.67,7.5,7.67,7.75,7.0,10.0,7.58,7.42,10.0,10.0,82.58
Mexico,7.75,7.42,7.58,7.67,7.67,10.0,7.58,7.58,10.0,9.33,82.58
Guatemala,7.58,7.42,7.5,7.58,7.42,10.0,7.5,7.58,10.0,10.0,82.58
Colombia,7.42,7.33,7.75,7.83,7.5,10.0,7.5,7.25,10.0,10.0,82.58
Colombia,7.25,7.75,7.75,7.58,7.33,10.0,7.42,7.5,10.0,10.0,82.58
Colombia,7.58,7.42,7.58,7.42,7.67,10.0,7.42,7.5,10.0,10.0,82.58
Mexico,7.5,7.5,7.5,7.5,7.42,10.0,7.58,7.58,10.0,10.0,82.58
Mexico,7.75,7.58,7.67,6.83,7.67,10.0,7.5,7.58,10.0,10.0,82.58
Colombia,7.42,7.58,7.33,7.5,7.67,10.0,7.67,7.42,10.0,10.0,82.58
Brazil,7.75,7.33,7.58,7.5,7.5,10.0,7.42,7.5,10.0,10.0,82.58
Brazil,7.5,7.5,7.5,7.5,7.58,10.0,7.42,7.5,10.0,10.0,82.5
Indonesia,7.5,7.25,7.83,7.33,7.42,10.0,7.42,7.75,10.0,10.0,82.5
Honduras,7.5,7.33,7.58,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.5
Guatemala,7.5,7.33,7.5,7.5,7.67,10.0,7.5,7.5,10.0,10.0,82.5
Thailand,7.75,7.5,7.5,7.42,7.33,10.0,7.83,7.83,10.0,9.33,82.5
Thailand,7.5,7.5,7.33,7.5,7.67,10.0,7.5,7.5,10.0,10.0,82.5
United Republic of Tanzania,7.58,7.33,7.67,7.5,7.5,10.0,7.5,7.42,10.0,10.0,82.5
United Republic of Tanzania,7.58,7.42,7.75,7.58,7.58,10.0,7.58,7.0,10.0,10.0,82.5
Mexico,7.67,7.5,7.42,7.5,7.25,10.0,7.58,7.58,10.0,10.0,82.5
Brazil,7.33,7.67,7.42,7.67,7.42,10.0,7.5,7.5,10.0,10.0,82.5
Guatemala,7.67,7.33,7.83,7.5,7.42,10.0,7.33,7.42,10.0,10.0,82.5
Colombia,7.42,7.42,7.5,7.58,7.58,10.0,7.5,7.5,10.0,10.0,82.5
Guatemala,7.33,7.17,7.83,7.67,7.5,10.0,7.33,7.67,10.0,10.0,82.5
Mexico,7.5,7.5,7.5,7.42,7.42,10.0,7.58,7.58,10.0,10.0,82.5
Mexico,7.67,7.33,7.67,7.33,7.5,10.0,7.5,7.5,10.0,10.0,82.5
Mexico,7.58,7.33,7.92,7.42,7.25,10.0,7.5,7.5,10.0,10.0,82.5
Guatemala,7.33,7.33,7.67,7.83,7.5,10.0,7.5,7.33,10.0,10.0,82.5
Brazil,7.67,7.33,7.67,7.5,7.5,10.0,7.42,7.42,10.0,10.0,82.5
Colombia,7.5,7.33,7.67,7.67,7.25,10.0,7.58,7.5,10.0,10.0,82.5
United States of America,7.75,7.33,7.33,7.67,7.42,10.0,7.58,7.42,10.0,10.0,82.5
Guatemala,7.67,7.67,7.75,7.58,7.58,10.0,7.33,7.58,10.0,9.33,82.5
Honduras,7.58,7.17,7.42,7.5,7.58,10.0,7.5,7.67,10.0,10.0,82.42
Guatemala,7.75,7.33,7.58,7.5,7.33,10.0,7.42,7.5,10.0,10.0,82.42
Guatemala,7.67,7.25,7.67,7.33,7.42,10.0,7.5,7.58,10.0,10.0,82.42
Guatemala,7.67,7.25,7.58,7.5,7.5,10.0,7.42,7.5,10.0,10.0,82.42
Guatemala,7.75,7.08,7.5,7.5,7.67,10.0,7.5,7.42,10.0,10.0,82.42
Colombia,7.75,7.83,5.08,8.08,7.83,10.0,8.08,7.75,10.0,10.0,82.42
China,7.5,7.42,7.67,7.42,7.42,10.0,7.58,7.42,10.0,10.0,82.42
Brazil,7.5,7.33,7.42,7.42,7.25,10.0,8.0,7.5,10.0,10.0,82.42
United Republic of Tanzania,7.42,7.42,7.67,7.42,7.67,10.0,7.58,7.25,10.0,10.0,82.42
Brazil,7.5,7.33,7.17,7.42,7.75,10.0,7.42,7.83,10.0,10.0,82.42
Guatemala,7.67,7.5,7.5,7.5,7.42,10.0,7.33,7.5,10.0,10.0,82.42
Mexico,7.58,7.42,7.42,7.5,7.42,10.0,7.58,7.5,10.0,10.0,82.42
Brazil,7.5,7.33,7.58,7.42,7.5,10.0,7.42,7.67,10.0,10.0,82.42
Peru,7.75,7.58,7.58,7.58,7.5,10.0,7.5,7.58,10.0,9.33,82.42
Brazil,7.5,7.25,7.25,7.5,7.42,10.0,8.17,7.33,10.0,10.0,82.42
Mexico,7.92,7.5,7.5,7.67,7.42,10.0,7.5,7.58,10.0,9.33,82.42
Honduras,7.17,7.42,7.25,7.5,7.75,10.0,7.67,7.67,10.0,10.0,82.42
Colombia,7.5,7.33,7.67,7.5,7.58,10.0,7.42,7.42,10.0,10.0,82.42
Mexico,7.67,7.42,7.5,7.58,7.42,10.0,7.42,7.42,10.0,10.0,82.42
Mexico,7.42,7.5,7.42,7.5,7.58,10.0,7.42,7.58,10.0,10.0,82.42
Mexico,7.58,7.33,7.42,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.42
Mexico,7.58,7.25,7.75,7.33,7.58,10.0,7.58,7.33,10.0,10.0,82.42
Mexico,7.5,7.33,7.5,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.42
Mexico,7.5,7.17,7.58,7.5,7.5,10.0,7.58,7.58,10.0,10.0,82.42
Mexico,7.58,7.33,7.58,7.5,7.5,10.0,7.58,7.33,10.0,10.0,82.42
Mexico,7.42,7.33,7.67,7.33,7.58,10.0,7.5,7.58,10.0,10.0,82.42
Mexico,7.67,7.42,7.83,7.33,7.17,10.0,7.5,7.5,10.0,10.0,82.42
Colombia,7.42,7.25,7.67,7.67,7.5,10.0,7.58,7.33,10.0,10.0,82.42
Brazil,7.42,7.42,7.75,7.42,7.5,10.0,7.42,7.5,10.0,10.0,82.42
Colombia,7.58,7.17,7.33,7.58,7.42,10.0,7.75,7.58,10.0,10.0,82.42
Colombia,7.25,7.42,7.58,7.83,7.58,10.0,7.5,7.25,10.0,10.0,82.42
Honduras,7.5,7.33,7.5,7.42,7.42,10.0,7.58,7.58,10.0,10.0,82.33
Brazil,7.33,7.5,7.33,7.5,7.5,10.0,7.67,7.5,10.0,10.0,82.33
Brazil,7.5,7.42,7.42,7.58,7.5,10.0,7.5,7.42,10.0,10.0,82.33
Brazil,7.5,7.42,7.5,7.5,7.42,10.0,7.5,7.5,10.0,10.0,82.33
Costa Rica,7.25,7.25,7.75,7.67,7.42,10.0,7.5,7.5,10.0,10.0,82.33
Costa Rica,7.5,7.5,7.75,7.58,7.33,10.0,7.33,7.33,10.0,10.0,82.33
China,7.5,7.42,7.5,7.42,7.42,10.0,7.5,7.58,10.0,10.0,82.33
Brazil,8.33,7.25,8.25,8.08,8.17,6.67,7.75,7.83,10.0,10.0,82.33
Brazil,7.42,7.5,7.42,7.58,7.5,10.0,7.42,7.5,10.0,10.0,82.33
Guatemala,7.83,7.17,7.5,7.5,7.5,10.0,7.42,7.42,10.0,10.0,82.33
Malawi,7.58,7.42,7.33,7.5,7.33,10.0,7.58,7.58,10.0,10.0,82.33
Brazil,8.08,7.67,7.75,8.0,8.08,10.0,8.0,8.08,6.67,10.0,82.33
Guatemala,7.58,7.5,7.58,7.5,7.75,10.0,7.42,7.67,10.0,9.33,82.33
Mexico,7.5,7.42,7.33,7.5,7.5,10.0,7.5,7.58,10.0,10.0,82.33
Colombia,7.17,7.5,7.42,8.33,7.08,10.0,7.5,7.33,10.0,10.0,82.33
Taiwan,7.5,7.5,7.5,7.5,7.5,10.0,7.33,7.5,10.0,10.0,82.33
Taiwan,7.5,7.5,7.5,7.5,7.5,10.0,7.33,7.5,10.0,10.0,82.33
Guatemala,7.5,7.58,7.5,7.58,7.5,10.0,7.25,7.42,10.0,10.0,82.33
Colombia,7.5,7.5,7.5,7.58,7.5,10.0,7.33,7.42,10.0,10.0,82.33
Mexico,7.5,7.42,7.67,7.42,7.42,10.0,7.42,7.5,10.0,10.0,82.33
Costa Rica,7.75,7.25,7.92,7.58,7.92,9.33,7.67,7.58,10.0,9.33,82.33
Guatemala,7.67,7.33,7.67,7.33,7.5,10.0,7.33,7.5,10.0,10.0,82.33
Mexico,7.33,7.58,7.58,7.58,7.0,10.0,7.58,7.67,10.0,10.0,82.33
Mexico,7.58,7.5,7.67,7.5,7.5,10.0,7.0,7.58,10.0,10.0,82.33
Guatemala,7.5,7.33,7.5,7.5,7.33,10.0,7.5,7.67,10.0,10.0,82.33
Brazil,7.5,7.42,7.58,7.42,7.5,10.0,7.42,7.5,10.0,10.0,82.33
Mexico,7.33,7.33,8.0,7.67,7.08,10.0,7.83,7.75,10.0,9.33,82.33
Brazil,7.58,7.25,7.58,7.5,7.42,10.0,7.42,7.58,10.0,10.0,82.33
Colombia,7.25,7.33,7.83,7.42,7.58,10.0,7.33,7.58,10.0,10.0,82.33
Brazil,7.42,7.25,7.58,7.33,7.67,10.0,7.5,7.5,10.0,10.0,82.25
Taiwan,7.17,7.0,7.0,7.0,7.0,10.0,10.0,7.08,10.0,10.0,82.25
Guatemala,7.67,7.25,7.67,7.42,7.42,10.0,7.33,7.5,10.0,10.0,82.25
Brazil,7.08,7.5,7.42,7.42,7.5,10.0,7.67,7.67,10.0,10.0,82.25
El Salvador,7.67,7.5,7.58,8.42,7.83,9.33,7.58,7.67,9.33,9.33,82.25
Honduras,7.58,7.42,7.58,7.42,7.42,10.0,7.33,7.5,10.0,10.0,82.25
Malawi,7.42,7.33,7.58,7.5,7.58,10.0,7.42,7.42,10.0,10.0,82.25
Brazil,7.42,7.42,7.75,7.33,7.33,10.0,7.42,7.58,10.0,10.0,82.25
Taiwan,7.5,7.5,7.5,7.5,7.5,10.0,7.25,7.5,10.0,10.0,82.25
Mexico,7.42,7.42,7.58,7.42,7.42,10.0,7.42,7.58,10.0,10.0,82.25
United States of America,7.67,7.5,7.33,7.42,7.5,10.0,7.42,7.42,10.0,10.0,82.25
Mexico,7.17,7.5,7.58,7.42,7.42,10.0,7.58,7.58,10.0,10.0,82.25
Guatemala,7.58,7.33,7.5,7.33,7.67,10.0,7.33,7.5,10.0,10.0,82.25
Mexico,7.67,7.42,7.5,7.42,7.33,10.0,7.33,7.58,10.0,10.0,82.25
Mexico,7.5,7.33,7.67,7.42,7.42,10.0,7.33,7.58,10.0,10.0,82.25
El Salvador,7.5,7.33,7.75,7.5,7.5,10.0,7.33,7.33,10.0,10.0,82.25
Mexico,7.67,7.42,7.33,7.5,7.33,10.0,7.42,7.58,10.0,10.0,82.25
Mexico,7.58,7.42,7.42,7.5,7.42,10.0,7.42,7.5,10.0,10.0,82.25
Colombia,7.33,7.67,7.5,7.33,7.58,10.0,7.42,7.42,10.0,10.0,82.25
Colombia,7.33,7.33,7.67,7.5,7.5,10.0,7.58,7.33,10.0,10.0,82.25
Brazil,7.0,7.42,7.67,7.58,7.5,10.0,7.5,7.58,10.0,10.0,82.25
Colombia,7.25,7.58,7.17,7.67,7.58,10.0,7.75,7.25,10.0,10.0,82.25
Brazil,7.42,7.5,7.42,7.5,7.42,10.0,7.5,7.42,10.0,10.0,82.17
Honduras,7.42,7.17,7.5,7.5,7.5,10.0,7.58,7.5,10.0,10.0,82.17
Nicaragua,7.42,7.33,7.5,7.42,7.5,10.0,7.5,7.5,10.0,10.0,82.17
United Republic of Tanzania,7.33,7.42,7.58,7.42,7.5,10.0,7.5,7.42,10.0,10.0,82.17
United Republic of Tanzania,7.5,7.42,7.42,7.33,7.5,10.0,7.58,7.42,10.0,10.0,82.17
Brazil,7.33,7.42,6.92,7.5,7.83,10.0,7.58,7.58,10.0,10.0,82.17
Thailand,7.75,7.17,7.42,7.67,7.25,10.0,7.5,7.42,10.0,10.0,82.17
Honduras,7.42,7.25,7.67,7.42,7.58,10.0,7.33,7.5,10.0,10.0,82.17
Guatemala,7.5,7.5,7.42,7.5,7.42,10.0,7.42,7.42,10.0,10.0,82.17
Brazil,7.25,7.42,7.58,7.42,7.5,10.0,7.5,7.5,10.0,10.0,82.17
United Republic of Tanzania,7.58,7.42,7.75,7.42,7.33,10.0,7.25,7.42,10.0,10.0,82.17
Mexico,7.42,7.17,7.42,8.17,7.33,10.0,7.33,7.33,10.0,10.0,82.17
Mexico,7.42,7.33,7.5,7.42,7.5,10.0,7.5,7.5,10.0,10.0,82.17
Taiwan,7.5,7.5,7.5,7.5,7.5,10.0,7.17,7.5,10.0,10.0,82.17
Taiwan,7.17,7.5,7.67,7.58,7.17,10.0,7.58,7.5,10.0,10.0,82.17
Colombia,7.58,7.25,7.33,7.5,7.75,10.0,7.5,7.25,10.0,10.0,82.17
Mexico,7.5,7.0,7.5,7.5,7.33,10.0,7.67,7.67,10.0,10.0,82.17
Guatemala,7.75,7.0,7.25,7.75,8.17,10.0,7.17,7.75,9.33,10.0,82.17
Mexico,7.5,7.25,7.5,7.33,7.5,10.0,7.5,7.58,10.0,10.0,82.17
Mexico,7.5,7.5,7.0,7.5,7.42,10.0,7.58,7.67,10.0,10.0,82.17
Colombia,7.17,7.42,7.58,7.75,7.17,10.0,7.42,7.67,10.0,10.0,82.17
Indonesia,7.42,7.42,7.5,7.42,7.5,10.0,7.33,7.5,10.0,10.0,82.08
Colombia,7.67,7.42,7.75,7.58,7.83,9.33,7.58,7.58,10.0,9.33,82.08
Brazil,7.5,7.42,7.42,7.25,7.42,10.0,7.5,7.58,10.0,10.0,82.08
Brazil,7.58,7.58,7.25,7.92,7.25,10.0,7.25,7.25,10.0,10.0,82.08
Costa Rica,7.25,7.42,7.75,7.42,7.17,10.0,7.67,7.42,10.0,10.0,82.08
United Republic of Tanzania,7.42,7.42,7.42,7.58,7.5,10.0,7.42,7.33,10.0,10.0,82.08
United Republic of Tanzania,7.33,7.5,7.42,7.5,7.33,10.0,7.5,7.5,10.0,10.0,82.08
Colombia,7.42,7.42,7.5,7.42,7.67,10.0,7.25,7.42,10.0,10.0,82.08
Costa Rica,7.33,7.33,7.58,7.67,7.5,10.0,7.33,7.33,10.0,10.0,82.08
United States of America,7.25,7.58,7.25,7.42,7.5,10.0,7.5,7.58,10.0,10.0,82.08
Mexico,7.33,7.5,7.42,7.42,7.42,10.0,7.42,7.58,10.0,10.0,82.08
Mexico,7.5,7.42,7.5,7.5,7.25,10.0,7.5,7.42,10.0,10.0,82.08
Mexico,7.58,7.25,7.67,7.33,7.42,10.0,7.33,7.5,10.0,10.0,82.08
Vietnam,7.08,7.17,7.67,7.08,7.67,10.0,7.42,8.0,10.0,10.0,82.08
Mexico,7.75,7.25,7.58,7.42,7.33,10.0,7.33,7.42,10.0,10.0,82.08
United States of America,7.58,7.33,7.33,7.83,7.08,10.0,7.42,7.5,10.0,10.0,82.08
Colombia,7.33,7.67,7.67,7.58,7.25,10.0,7.17,7.42,10.0,10.0,82.08
Honduras,7.5,7.17,7.5,7.42,7.5,10.0,7.42,7.5,10.0,10.0,82.0
Honduras,7.33,7.25,7.5,7.5,7.42,10.0,7.5,7.5,10.0,10.0,82.0
Brazil,7.5,7.42,7.5,7.42,7.33,10.0,7.5,7.33,10.0,10.0,82.0
United Republic of Tanzania,7.42,7.33,7.67,7.42,7.42,10.0,7.42,7.33,10.0,10.0,82.0
Laos,7.33,7.25,7.42,7.5,7.5,10.0,7.5,7.5,10.0,10.0,82.0
United Republic of Tanzania,7.58,7.33,7.42,7.42,7.33,10.0,7.5,7.42,10.0,10.0,82.0
