Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Malawi,7.58,7.33,7.5,7.5,7.33,10.0,7.33,7.42,10.0,10.0,82.0
Taiwan,7.42,7.17,7.33,7.33,7.5,10.0,7.75,7.5,10.0,10.0,82.0
Thailand,7.42,7.42,7.58,7.42,7.33,10.0,7.33,7.5,10.0,10.0,82.0
Costa Rica,7.33,7.33,7.5,7.5,7.75,10.0,7.33,7.25,10.0,10.0,82.0
Honduras,7.5,7.33,7.33,7.83,7.5,10.0,7.17,7.33,10.0,10.0,82.0
Colombia,7.5,7.58,7.33,7.58,7.5,10.0,7.17,7.33,10.0,10.0,82.0
Taiwan,7.42,7.33,7.42,7.5,8.0,10.0,7.42,7.58,10.0,9.33,82.0
Brazil,7.17,7.42,7.33,7.42,7.33,10.0,7.67,7.67,10.0,10.0,82.0
Mexico,7.5,7.25,7.67,7.42,7.42,10.0,7.42,7.33,10.0,10.0,82.0
Brazil,7.5,7.33,7.42,7.5,7.33,10.0,7.42,7.5,10.0,10.0,82.0
Brazil,7.5,7.25,7.42,7.42,7.5,10.0,7.42,7.5,10.0,10.0,82.0
Guatemala,7.5,7.33,7.33,7.67,7.67,10.0,7.17,7.33,10.0,10.0,82.0
Brazil,7.5,7.17,7.58,7.42,7.5,10.0,7.33,7.5,10.0,10.0,82.0
Guatemala,7.42,7.33,7.75,7.67,7.75,10.0,7.42,7.33,9.33,10.0,82.0
Colombia,7.42,7.08,7.33,7.67,7.5,10.0,8.0,7.0,10.0,10.0,82.0
Guatemala,7.58,7.25,7.58,7.5,7.58,10.0,7.58,7.5,10.0,9.33,81.92
Guatemala,7.42,7.25,7.5,7.42,7.42,10.0,7.42,7.5,10.0,10.0,81.92
Honduras,7.33,7.25,7.58,7.5,7.42,10.0,7.33,7.5,10.0,10.0,81.92
Brazil,7.5,7.33,7.42,7.33,7.5,10.0,7.5,7.33,10.0,10.0,81.92
El Salvador,7.5,7.33,7.67,7.67,7.5,10.0,7.33,7.58,9.33,10.0,81.92
Guatemala,7.83,7.17,7.58,7.33,7.17,10.0,7.25,7.58,10.0,10.0,81.92
United Republic of Tanzania,7.42,7.33,7.33,7.58,7.5,10.0,7.42,7.33,10.0,10.0,81.92
Nicaragua,7.17,7.25,7.58,7.67,7.5,10.0,7.33,7.42,10.0,10.0,81.92
Zambia,7.33,7.42,7.67,7.42,7.75,10.0,7.25,7.08,10.0,10.0,81.92
Honduras,7.58,7.33,7.42,7.5,7.33,10.0,7.42,7.33,10.0,10.0,81.92
Taiwan,7.25,7.42,7.5,7.5,7.5,10.0,7.25,7.5,10.0,10.0,81.92
Mexico,7.58,7.25,7.58,7.25,7.5,10.0,7.25,7.5,10.0,10.0,81.92
Mexico,7.25,7.25,7.5,7.5,7.5,10.0,7.42,7.5,10.0,10.0,81.92
Mexico,7.5,7.25,7.5,7.33,7.33,10.0,7.58,7.42,10.0,10.0,81.92
Mexico,7.58,7.17,7.33,7.33,7.42,10.0,7.5,7.58,10.0,10.0,81.92
Mexico,7.83,7.33,7.67,7.5,7.5,10.0,7.33,7.42,10.0,9.33,81.92
Brazil,7.5,7.25,7.42,7.5,7.33,10.0,7.33,7.58,10.0,10.0,81.92
Colombia,7.58,7.33,7.67,7.33,7.33,10.0,7.33,7.33,10.0,10.0,81.92
Guatemala,7.5,7.25,7.42,7.42,7.33,10.0,7.42,7.5,10.0,10.0,81.83
Costa Rica,7.33,7.5,7.25,7.42,7.67,10.0,7.33,7.33,10.0,10.0,81.83
Brazil,7.5,7.42,7.42,7.25,7.42,10.0,7.33,7.5,10.0,10.0,81.83
Indonesia,7.75,7.58,7.75,7.83,7.92,10.0,5.17,7.83,10.0,10.0,81.83
Guatemala,7.42,7.33,7.58,7.25,7.58,10.0,7.17,7.5,10.0,10.0,81.83
Brazil,7.5,6.83,7.17,7.25,7.75,10.0,7.75,7.58,10.0,10.0,81.83
Brazil,6.92,6.92,7.58,7.5,7.67,10.0,8.25,7.0,10.0,10.0,81.83
Myanmar,7.42,7.5,7.33,7.33,7.33,10.0,7.33,7.58,10.0,10.0,81.83
Mexico,7.5,7.33,7.58,7.33,7.17,10.0,7.42,7.5,10.0,10.0,81.83
Honduras,7.5,7.33,7.5,7.25,7.42,10.0,7.33,7.5,10.0,10.0,81.83
Costa Rica,7.25,7.5,7.67,7.42,7.08,10.0,7.42,7.5,10.0,10.0,81.83
Taiwan,7.25,7.17,7.67,7.33,7.75,10.0,7.33,7.33,10.0,10.0,81.83
Indonesia,7.33,7.42,7.42,7.42,7.42,10.0,7.42,7.42,10.0,10.0,81.83
Malawi,7.33,7.33,7.58,7.42,7.33,10.0,7.42,7.42,10.0,10.0,81.83
Brazil,7.17,7.25,7.33,7.33,7.83,10.0,7.33,7.58,10.0,10.0,81.83
Honduras,7.33,7.33,7.5,7.33,7.33,10.0,7.5,7.5,10.0,10.0,81.83
Mexico,7.5,7.25,7.42,7.42,7.33,10.0,7.5,7.42,10.0,10.0,81.83
Colombia,7.42,7.0,7.5,7.58,7.5,10.0,7.33,7.5,10.0,10.0,81.83
United States of America,8.0,7.83,7.83,7.83,7.83,6.67,8.0,7.83,10.0,10.0,81.83
Brazil,7.42,7.5,7.75,7.75,7.83,9.33,7.83,7.75,9.33,9.33,81.83
Guatemala,7.33,7.33,7.83,7.83,7.67,10.0,7.5,7.67,9.33,9.33,81.83
Mexico,7.58,7.25,7.83,7.33,7.25,10.0,7.25,7.33,10.0,10.0,81.83
Mexico,7.5,7.25,7.33,7.5,7.5,10.0,7.42,7.33,10.0,10.0,81.83
Brazil,7.5,7.25,7.33,7.25,7.5,10.0,7.33,7.67,10.0,10.0,81.83
Colombia,7.58,7.17,7.58,7.33,7.33,10.0,7.33,7.5,10.0,10.0,81.83
United States of America,7.67,7.83,7.25,7.75,7.75,9.33,7.33,7.58,10.0,9.33,81.83
Guatemala,7.42,7.25,7.5,7.33,7.42,10.0,7.33,7.5,10.0,10.0,81.75
Vietnam,7.5,7.33,7.0,7.33,7.5,10.0,8.0,7.08,10.0,10.0,81.75
United Republic of Tanzania,7.42,7.42,7.42,7.33,7.33,10.0,7.42,7.42,10.0,10.0,81.75
Brazil,7.25,7.17,7.17,8.25,7.42,10.0,7.25,7.25,10.0,10.0,81.75
Mexico,7.42,7.33,7.5,7.25,7.25,10.0,7.5,7.5,10.0,10.0,81.75
Mexico,7.67,7.17,7.42,7.42,7.33,10.0,7.25,7.5,10.0,10.0,81.75
Mexico,7.58,7.33,7.42,7.33,7.33,10.0,7.25,7.5,10.0,10.0,81.75
Mexico,7.67,7.33,7.33,7.25,7.42,10.0,7.33,7.42,10.0,10.0,81.75
Mexico,7.33,7.25,7.5,7.25,7.67,10.0,7.33,7.42,10.0,10.0,81.75
Colombia,7.33,7.33,7.33,7.67,7.5,10.0,7.17,7.42,10.0,10.0,81.75
Colombia,7.08,6.92,7.42,8.0,7.25,10.0,7.5,7.58,10.0,10.0,81.75
Brazil,7.5,7.25,7.42,7.25,7.5,10.0,7.25,7.5,10.0,10.0,81.67
Guatemala,7.42,7.08,7.42,7.42,7.33,10.0,7.58,7.42,10.0,10.0,81.67
Guatemala,7.67,7.17,7.42,7.42,7.33,10.0,7.33,7.33,10.0,10.0,81.67
Honduras,7.33,7.33,7.58,7.25,7.42,10.0,7.25,7.5,10.0,10.0,81.67
United Republic of Tanzania,7.42,7.33,7.17,7.33,7.5,10.0,7.58,7.33,10.0,10.0,81.67
Nicaragua,7.25,7.25,7.58,7.25,7.5,10.0,7.33,7.5,10.0,10.0,81.67
Colombia,7.67,7.75,7.75,7.83,5.25,10.0,7.67,7.75,10.0,10.0,81.67
Brazil,7.42,6.92,7.25,7.58,7.5,10.0,7.25,7.75,10.0,10.0,81.67
United Republic of Tanzania,7.42,7.25,7.42,7.42,7.5,10.0,7.33,7.33,10.0,10.0,81.67
United Republic of Tanzania,7.25,7.5,7.33,7.33,7.42,10.0,7.5,7.33,10.0,10.0,81.67
Brazil,7.5,7.25,7.25,7.42,7.5,10.0,7.33,7.42,10.0,10.0,81.67
Indonesia,7.42,7.33,7.17,7.42,7.33,10.0,7.58,7.42,10.0,10.0,81.67
Honduras,7.5,7.5,7.5,7.17,7.17,10.0,7.5,7.33,10.0,10.0,81.67
Costa Rica,7.17,7.17,7.5,7.08,7.5,10.0,8.08,7.17,10.0,10.0,81.67
Mexico,8.0,7.67,7.42,7.5,7.58,9.33,7.42,7.42,10.0,9.33,81.67
Taiwan,7.25,7.5,7.5,7.25,7.42,10.0,7.25,7.5,10.0,10.0,81.67
Taiwan,7.42,7.33,7.58,7.33,7.33,10.0,7.25,7.42,10.0,10.0,81.67
Mexico,7.58,7.08,7.5,7.33,7.33,10.0,7.42,7.42,10.0,10.0,81.67
Guatemala,7.33,7.33,7.5,7.33,7.33,10.0,7.17,7.67,10.0,10.0,81.67
Mexico,7.67,7.58,7.25,7.58,7.67,10.0,7.58,7.67,10.0,8.67,81.67
Mexico,7.75,7.17,7.67,7.25,7.5,10.0,7.08,7.25,10.0,10.0,81.67
Mexico,7.42,7.33,7.5,7.42,7.42,10.0,7.17,7.42,10.0,10.0,81.67
Mexico,7.58,7.25,7.58,7.17,7.25,10.0,7.42,7.42,10.0,10.0,81.67
Mexico,7.17,7.25,7.75,7.33,7.58,10.0,7.67,7.58,10.0,9.33,81.67
United States of America,7.33,7.33,7.42,7.83,7.17,10.0,7.25,7.33,10.0,10.0,81.67
Honduras,7.42,7.08,7.5,7.33,7.5,10.0,7.33,7.42,10.0,10.0,81.58
Guatemala,7.5,7.08,7.42,7.33,7.42,10.0,7.42,7.42,10.0,10.0,81.58
Taiwan,7.67,7.25,7.42,7.25,7.33,10.0,7.25,7.42,10.0,10.0,81.58
Costa Rica,7.17,7.5,7.58,7.58,7.08,10.0,7.25,7.42,10.0,10.0,81.58
United Republic of Tanzania,7.42,7.33,7.42,7.33,7.42,10.0,7.25,7.42,10.0,10.0,81.58
Malawi,7.58,7.17,7.42,7.33,7.33,10.0,7.33,7.42,10.0,10.0,81.58
Taiwan,7.08,7.08,7.33,8.25,8.33,10.0,7.0,7.17,9.33,10.0,81.58
Brazil,7.33,7.33,7.42,7.25,7.5,10.0,7.33,7.42,10.0,10.0,81.58
Guatemala,7.58,7.17,7.42,7.5,7.42,10.0,7.17,7.33,10.0,10.0,81.58
Mexico,7.5,7.42,7.67,7.42,6.75,10.0,7.33,7.5,10.0,10.0,81.58
Mexico,7.5,7.25,7.33,7.17,7.5,10.0,7.33,7.5,10.0,10.0,81.58
Mexico,7.58,7.42,7.67,7.42,7.58,10.0,7.67,7.58,8.67,10.0,81.58
Thailand,7.58,7.58,7.08,7.5,7.17,10.0,7.33,7.33,10.0,10.0,81.58
Thailand,7.5,7.17,7.33,7.33,7.58,10.0,7.33,7.33,10.0,10.0,81.58
Costa Rica,7.33,7.33,7.25,7.75,7.5,10.0,7.25,7.17,10.0,10.0,81.58
Guatemala,7.42,7.17,7.67,7.42,7.33,10.0,7.58,7.58,10.0,9.33,81.5
Nicaragua,7.33,7.33,7.5,7.33,7.25,10.0,7.33,7.42,10.0,10.0,81.5
Honduras,7.42,7.33,7.5,7.25,7.17,10.0,7.33,7.5,10.0,10.0,81.5
Guatemala,7.25,7.25,7.5,7.25,7.5,10.0,7.33,7.42,10.0,10.0,81.5
Taiwan,7.08,7.33,7.5,7.25,7.58,10.0,7.33,7.42,10.0,10.0,81.5
Myanmar,7.5,7.25,7.25,7.33,7.33,10.0,7.42,7.42,10.0,10.0,81.5
Costa Rica,7.08,7.08,7.83,7.5,7.33,10.0,7.33,7.33,10.0,10.0,81.5
Malawi,7.5,6.92,7.67,7.17,7.5,10.0,7.33,7.42,10.0,10.0,81.5
Guatemala,7.58,7.17,7.5,7.42,7.25,10.0,7.17,7.42,10.0,10.0,81.5
Taiwan,7.33,7.67,7.42,7.5,7.42,10.0,7.5,7.33,9.33,10.0,81.5
Brazil,7.67,7.5,7.58,7.83,7.67,9.33,7.75,7.5,9.33,9.33,81.5
Haiti,7.42,7.25,7.42,7.33,7.42,10.0,7.33,7.33,10.0,10.0,81.5
Taiwan,7.25,7.25,7.5,7.33,7.33,10.0,7.42,7.42,10.0,10.0,81.5
Mexico,7.42,7.17,7.33,7.5,7.5,10.0,7.25,7.33,10.0,10.0,81.5
Mexico,7.42,7.25,7.58,7.33,7.33,10.0,7.17,7.42,10.0,10.0,81.5
Mexico,7.42,7.17,7.42,8.0,7.17,10.0,7.08,7.25,10.0,10.0,81.5
Mexico,7.33,7.33,7.33,7.42,7.33,10.0,7.25,7.5,10.0,10.0,81.5
Mexico,7.17,7.33,7.42,7.42,7.25,10.0,7.5,7.42,10.0,10.0,81.5
Mexico,7.5,7.25,7.5,7.58,7.42,10.0,7.42,7.5,10.0,9.33,81.5
Indonesia,7.33,7.17,7.75,7.33,7.58,10.0,7.17,7.17,10.0,10.0,81.5
Brazil,7.42,7.17,7.5,7.33,7.5,10.0,7.17,7.42,10.0,10.0,81.5
Guatemala,7.42,7.33,7.33,7.33,7.17,10.0,7.42,7.5,10.0,10.0,81.5
Colombia,7.42,7.17,7.42,7.33,7.42,10.0,7.33,7.42,10.0,10.0,81.5
United States of America,7.5,7.33,7.33,7.83,7.5,10.0,7.33,7.33,10.0,9.33,81.5
Mexico,7.33,7.08,7.58,7.33,7.5,10.0,7.25,7.33,10.0,10.0,81.42
Guatemala,7.58,7.08,7.42,7.25,7.33,10.0,7.42,7.33,10.0,10.0,81.42
Brazil,7.33,7.5,7.33,7.42,6.83,10.0,7.5,7.5,10.0,10.0,81.42
Honduras,7.25,7.17,7.5,7.42,7.5,10.0,7.25,7.33,10.0,10.0,81.42
Taiwan,7.17,7.42,7.83,7.08,7.08,10.0,7.08,7.75,10.0,10.0,81.42
Malawi,7.42,7.33,7.58,7.42,7.08,10.0,7.42,7.17,10.0,10.0,81.42
Brazil,7.17,7.42,7.25,7.33,7.33,10.0,7.42,7.5,10.0,10.0,81.42
Guatemala,7.42,7.17,7.42,7.42,7.42,10.0,7.08,7.5,10.0,10.0,81.42
Mexico,7.17,7.25,7.67,7.42,7.25,10.0,7.33,7.33,10.0,10.0,81.42
Peru,7.33,7.17,7.42,7.42,7.42,10.0,7.25,7.42,10.0,10.0,81.42
Guatemala,7.42,7.25,7.42,7.5,7.42,10.0,7.08,7.33,10.0,10.0,81.42
Mexico,7.17,7.25,7.42,7.42,7.25,10.0,7.58,7.33,10.0,10.0,81.42
Mexico,7.25,7.25,7.42,7.33,7.5,10.0,7.25,7.42,10.0,10.0,81.42
Colombia,7.17,7.25,7.5,7.75,7.17,10.0,7.17,7.42,10.0,10.0,81.42
Colombia,7.0,7.42,7.75,7.25,7.33,10.0,7.33,7.33,10.0,10.0,81.42
United States of America,7.58,7.0,7.83,7.5,7.58,10.0,6.92,7.0,10.0,10.0,81.42
Colombia,7.17,7.33,7.5,7.42,7.33,10.0,7.25,7.33,10.0,10.0,81.33
Honduras,7.17,7.0,7.5,7.33,7.5,10.0,7.33,7.5,10.0,10.0,81.33
Mexico,7.42,7.0,7.67,7.08,7.58,10.0,7.17,7.42,10.0,10.0,81.33
Brazil,7.33,7.33,7.25,7.42,7.33,10.0,7.33,7.33,10.0,10.0,81.33
Honduras,7.42,7.17,7.58,7.17,7.17,10.0,7.42,7.42,10.0,10.0,81.33
Brazil,7.25,7.42,7.17,7.33,7.42,10.0,7.42,7.33,10.0,10.0,81.33
Philippines,7.33,7.42,7.08,7.5,7.33,10.0,7.33,7.33,10.0,10.0,81.33
Malawi,7.33,7.08,7.75,7.25,7.33,10.0,7.25,7.33,10.0,10.0,81.33
Honduras,7.33,7.17,7.33,7.33,7.5,10.0,7.33,7.33,10.0,10.0,81.33
Mexico,7.33,7.25,7.58,7.25,7.25,10.0,7.25,7.42,10.0,10.0,81.33
Mexico,7.42,7.17,7.33,7.33,7.58,10.0,7.25,7.25,10.0,10.0,81.33
Brazil,7.5,7.5,7.5,7.83,7.75,9.33,7.58,7.58,9.33,9.33,81.33
Taiwan,7.83,7.67,7.83,7.75,7.83,10.0,5.25,7.75,10.0,9.33,81.25
Brazil,7.08,7.17,7.17,8.17,6.92,10.0,7.33,7.42,10.0,10.0,81.25
Nicaragua,7.17,7.33,7.08,7.25,7.42,10.0,7.5,7.5,10.0,10.0,81.25
Honduras,7.5,7.17,7.42,7.25,7.33,10.0,7.42,7.17,10.0,10.0,81.25
Guatemala,7.25,7.17,7.33,7.33,7.42,10.0,7.33,7.42,10.0,10.0,81.25
United Republic of Tanzania,7.5,7.17,7.33,7.42,7.25,10.0,7.42,7.17,10.0,10.0,81.25
Taiwan,7.25,7.25,7.5,7.25,7.25,10.0,7.25,7.5,10.0,10.0,81.25
Guatemala,7.58,7.5,7.5,7.25,7.0,10.0,7.08,7.33,10.0,10.0,81.25
Mexico,7.33,7.33,7.42,7.42,7.5,10.0,7.5,7.42,10.0,9.33,81.25
Nicaragua,7.17,7.17,7.33,7.17,7.58,10.0,7.25,7.5,10.0,10.0,81.17
United Republic of Tanzania,7.33,7.17,7.67,7.17,7.5,10.0,7.17,7.17,10.0,10.0,81.17
Mexico,7.25,7.08,7.75,7.25,7.08,10.0,7.17,7.58,10.0,10.0,81.17
Costa Rica,7.17,7.33,7.5,7.17,7.08,10.0,7.42,7.5,10.0,10.0,81.17
Honduras,7.42,7.0,7.42,7.33,7.33,10.0,7.33,7.33,10.0,10.0,81.17
Thailand,7.17,7.42,6.83,7.42,7.5,10.0,7.42,7.42,10.0,10.0,81.17
Philippines,7.08,7.25,7.25,7.5,7.58,10.0,7.25,7.25,10.0,10.0,81.17
United Republic of Tanzania,7.33,7.17,7.58,7.25,7.33,10.0,7.33,7.17,10.0,10.0,81.17
Malawi,7.08,7.33,7.58,7.33,7.33,10.0,7.25,7.25,10.0,10.0,81.17
Costa Rica,7.25,7.33,7.33,7.58,7.33,10.0,7.25,7.08,10.0,10.0,81.17
Brazil,7.42,7.17,7.42,7.25,7.33,10.0,7.17,7.42,10.0,10.0,81.17
Mexico,7.75,7.08,7.42,7.17,7.42,10.0,7.08,7.25,10.0,10.0,81.17
Guatemala,7.25,7.33,7.42,7.42,7.25,10.0,7.25,7.25,10.0,10.0,81.17
Brazil,7.42,7.25,7.42,7.17,7.5,10.0,7.08,7.33,10.0,10.0,81.17
United States of America,7.67,7.67,7.25,7.67,7.42,9.33,7.75,7.75,10.0,8.67,81.17
Ethiopia,7.33,7.17,7.42,7.17,7.42,10.0,7.25,7.33,10.0,10.0,81.08
Brazil,7.25,7.5,7.58,7.58,7.75,10.0,7.33,7.42,9.33,9.33,81.08
Nicaragua,7.42,7.33,7.33,7.33,7.33,10.0,7.0,7.33,10.0,10.0,81.08
United States of America,7.42,7.33,7.42,7.33,7.25,10.0,7.17,7.17,10.0,10.0,81.08
United Republic of Tanzania,7.25,7.33,7.42,7.33,7.25,10.0,7.17,7.33,10.0,10.0,81.08
Costa Rica,7.25,7.17,7.42,7.58,7.25,10.0,7.17,7.25,10.0,10.0,81.08
United States of America,7.58,7.67,7.67,7.67,7.58,10.0,8.5,7.75,10.0,6.67,81.08
Mexico,7.33,7.33,7.25,7.33,7.17,10.0,7.25,7.42,10.0,10.0,81.08
Mexico,7.42,7.33,7.33,7.42,7.25,10.0,7.08,7.25,10.0,10.0,81.08
Mexico,7.42,7.25,7.33,7.25,7.25,10.0,7.25,7.33,10.0,10.0,81.08
Mexico,7.42,7.25,7.42,7.25,7.17,10.0,7.25,7.33,10.0,10.0,81.08
United States of America,7.58,7.25,7.42,7.17,6.92,10.0,7.33,7.42,10.0,10.0,81.08
Brazil,7.5,7.17,7.25,7.17,7.33,10.0,7.33,7.25,10.0,10.0,81.0
El Salvador,7.33,7.08,7.42,7.58,7.25,10.0,7.25,7.08,10.0,10.0,81.0
Brazil,7.67,7.17,7.33,7.17,7.33,10.0,7.17,7.17,10.0,10.0,81.0
Guatemala,7.5,7.17,7.42,7.17,7.25,10.0,7.25,7.25,10.0,10.0,81.0
Colombia,5.25,7.42,7.67,7.75,7.67,10.0,7.75,7.5,10.0,10.0,81.0
Guatemala,7.25,7.0,7.5,7.25,7.5,10.0,7.25,7.25,10.0,10.0,81.0
Taiwan,7.25,7.17,7.25,7.33,7.5,10.0,7.33,7.17,10.0,10.0,81.0
Honduras,7.33,7.25,7.42,7.17,7.25,10.0,7.33,7.25,10.0,10.0,81.0
Brazil,7.75,7.83,7.67,7.75,7.83,6.67,7.75,7.75,10.0,10.0,81.0
United Republic of Tanzania,7.42,7.08,7.33,7.33,7.17,10.0,7.33,7.33,10.0,10.0,81.0
Uganda,7.33,7.17,7.33,7.42,7.42,10.0,7.42,6.92,10.0,10.0,81.0
Taiwan,7.33,7.33,7.5,7.33,7.33,10.0,7.25,6.92,10.0,10.0,81.0
Thailand,7.42,7.25,7.33,7.17,7.25,10.0,7.17,7.42,10.0,10.0,81.0
Mexico,7.33,7.33,7.08,7.25,7.42,10.0,7.25,7.33,10.0,10.0,81.0
Mexico,7.67,7.5,7.58,7.5,7.58,10.0,7.5,7.67,10.0,8.0,81.0
Taiwan,7.33,7.25,7.33,7.25,7.33,10.0,7.25,7.17,10.0,10.0,80.92
Guatemala,7.58,7.33,7.67,7.5,7.67,9.33,7.5,7.67,9.33,9.33,80.92
Kenya,7.5,7.5,7.17,7.75,8.0,10.0,5.42,7.58,10.0,10.0,80.92
Mexico,7.42,7.17,7.5,7.33,7.5,10.0,7.33,7.33,10.0,9.33,80.92
Myanmar,7.58,7.0,7.17,7.0,7.33,10.0,7.42,7.42,10.0,10.0,80.92
United States of America,7.17,7.17,7.42,7.25,7.58,10.0,7.25,7.08,10.0,10.0,80.92
United Republic of Tanzania,7.25,7.17,7.33,7.33,7.42,10.0,7.25,7.17,10.0,10.0,80.92
Brazil,7.25,7.25,7.25,7.33,7.25,10.0,7.25,7.33,10.0,10.0,80.92
Taiwan,7.08,7.33,7.92,7.08,7.08,10.0,6.75,7.67,10.0,10.0,80.92
Brazil,7.25,7.17,7.17,7.33,7.25,10.0,7.33,7.42,10.0,10.0,80.92
Nicaragua,7.0,7.25,7.33,7.42,7.5,10.0,7.33,7.08,10.0,10.0,80.92
Guatemala,7.5,6.92,7.58,7.17,7.25,10.0,7.08,7.42,10.0,10.0,80.92
Taiwan,7.25,7.25,7.42,7.25,7.25,10.0,7.25,7.25,10.0,10.0,80.92
Taiwan,7.08,7.08,7.25,8.08,7.08,10.0,7.17,7.17,10.0,10.0,80.92
Taiwan,7.25,7.25,7.42,7.25,7.25,10.0,7.25,7.25,10.0,10.0,80.92
Mexico,7.5,7.08,7.58,7.25,7.17,10.0,7.0,7.33,10.0,10.0,80.92
Thailand,7.33,7.33,7.67,7.0,7.17,10.0,6.83,7.58,10.0,10.0,80.92
Laos,7.17,7.17,7.42,7.25,7.17,10.0,7.33,7.33,10.0,10.0,80.83
Guatemala,7.33,7.08,7.67,7.25,7.17,10.0,7.08,7.25,10.0,10.0,80.83
Mexico,7.42,7.25,7.17,7.33,7.25,10.0,7.33,7.08,10.0,10.0,80.83
Mexico,7.33,7.33,7.33,7.17,7.25,10.0,7.17,7.25,10.0,10.0,80.83
Mexico,7.25,7.33,7.5,7.17,7.17,10.0,7.25,7.17,10.0,10.0,80.83
United States of America,7.25,7.0,7.42,7.5,7.33,10.0,7.0,7.33,10.0,10.0,80.83
Colombia,6.83,7.0,7.33,7.67,7.33,10.0,7.33,7.33,10.0,10.0,80.83
Brazil,7.17,7.08,7.17,7.58,7.25,10.0,7.25,7.25,10.0,10.0,80.75
Myanmar,7.58,7.0,6.92,7.08,7.5,10.0,7.17,7.5,10.0,10.0,80.75
Guatemala,7.42,7.0,7.5,7.17,7.17,10.0,7.17,7.33,10.0,10.0,80.75
Nicaragua,7.25,7.17,7.25,7.25,7.33,10.0,7.25,7.25,10.0,10.0,80.75
Honduras,7.42,7.0,7.5,7.17,7.25,10.0,7.08,7.33,10.0,10.0,80.75
Panama,7.33,7.17,7.25,7.17,7.33,10.0,7.17,7.33,10.0,10.0,80.75
Honduras,7.42,7.08,7.42,7.25,7.25,10.0,7.17,7.17,10.0,10.0,80.75
Honduras,7.5,7.08,7.25,7.33,7.25,10.0,7.0,7.33,10.0,10.0,80.75
Costa Rica,7.25,7.25,7.33,7.17,7.17,10.0,7.25,7.33,10.0,10.0,80.75
Mexico,7.25,7.42,7.58,7.5,7.5,9.33,7.5,7.33,10.0,9.33,80.75
Haiti,7.25,7.42,7.42,7.33,7.08,10.0,7.25,7.0,10.0,10.0,80.75
United States of America,7.25,7.17,7.08,7.67,7.33,10.0,6.92,7.33,10.0,10.0,80.75
Taiwan,7.08,7.08,7.33,7.33,7.42,10.0,7.33,7.08,10.0,10.0,80.67
Indonesia,7.67,7.0,7.58,7.5,7.5,9.33,7.33,7.42,10.0,9.33,80.67
Guatemala,7.17,6.83,7.67,7.17,7.42,10.0,7.0,7.42,10.0,10.0,80.67
Costa Rica,7.67,7.67,7.83,7.5,7.83,10.0,8.0,7.5,10.0,6.67,80.67
Malawi,7.17,7.17,7.5,7.17,7.25,10.0,7.17,7.25,10.0,10.0,80.67
Mexico,7.25,7.17,7.25,7.42,7.17,10.0,7.25,7.17,10.0,10.0,80.67
Colombia,7.67,7.42,7.67,7.75,7.5,10.0,8.5,7.5,6.67,10.0,80.67
Guatemala,7.5,7.0,7.67,7.0,7.0,10.0,7.33,7.17,10.0,10.0,80.67
Guatemala,7.33,7.5,7.0,7.33,7.0,10.0,7.17,7.33,10.0,10.0,80.67
Guatemala,7.17,7.33,7.0,7.17,7.17,10.0,7.33,7.5,10.0,10.0,80.67
Colombia,7.42,7.08,7.17,7.42,7.08,10.0,7.25,7.25,10.0,10.0,80.67
Brazil,7.08,7.33,7.33,7.25,7.58,10.0,7.42,7.25,10.0,9.33,80.58
Nicaragua,7.25,7.0,7.08,7.0,7.42,10.0,7.33,7.5,10.0,10.0,80.58
United Republic of Tanzania,7.33,7.08,7.25,7.25,7.33,10.0,7.25,7.08,10.0,10.0,80.58
Brazil,7.0,7.33,7.42,7.25,7.08,10.0,7.25,7.25,10.0,10.0,80.58
Honduras,7.42,7.0,7.5,7.0,7.33,10.0,7.17,7.17,10.0,10.0,80.58
Guatemala,7.5,6.83,7.17,7.25,7.17,10.0,7.25,7.42,10.0,10.0,80.58
United States of America,7.92,7.5,7.42,7.83,7.83,8.67,7.83,7.58,9.33,8.67,80.58
